"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"19631","PRILI","EQ","PRICOL LIMITED",0.01,1,"","",0,1,"INE726V01018",515,272.05,515,19.47,"","","",0,0,0,613.1,408.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PRICOLLTD"
"19632","WOMLIM","ST","WOMANCART LIMITED",0.01,1,"","",0,10,"INE0Q9601016",0,0,329.9,99,"","","",0,0,0,283.6,256.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WOMANCART"
"19633","MIRASS","EQ","MIRAE ASSET NIFTY IT ETF",0.01,1,"","",0,10,"INF769K01KV5",45.5,30.4,45.5,30.4,"","","",0,0,0,49.86,33.24,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ITETF"
"1964","TRENT","EQ","TRENT LTD",0.01,1,"","",0,1,"INE849A01020",5919.3,1670.4,5919.3,4.32,"","","",0,0,0,6347.85,5193.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TRENT"
"19640","MIRALP","EQ","MIRAE ASSET NIFTY ALPHA 30 ETF",0.01,1,"","",0,10,"INF769K01KU7",29.39,16.56,29.39,16.56,"","","",0,0,0,34.98,23.32,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ALPHAETF"
"19646","MAXEST","EQ","MAX ESTATES LIMITED",0.01,1,"","",0,1,"INE03EI01018",580.8,242.75,580.8,242.75,"","","",0,0,0,665.2,443.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAXESTATES"
"19653","KALCO","BE","KALYANI COMMERCIALS LIMITED",0.01,1,"","",0,10,"INE610E01010",119.3,119.3,119.3,119.3,"","","",0,0,0,125.26,113.33,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KALYANI"
"19679","ICIGOL","EQ","ICICI PRUDENTIAL GOLD ETF",0.01,1,"","",0,1,"INF109KC1NT3",66.65,49.21,66.65,18.6,"","","",0,0,0,72.16,48.11,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GOLDIETF"
"19681","RAJCAS","SM","RAJGOR CASTOR DERIVATIVES",0.01,1,"","",0,10,"INE0BZQ01011",0,0,63,31.1,"","","",0,0,0,41.25,27.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RCDL"
"19686","BLUJET","EQ","BLUE JET HEALTHCARE LIMITED",0.01,1,"","",0,2,"INE0KBH01020",480,319.5,480,319.5,"","","",0,0,0,549,449.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BLUEJET"
"19691","JITINF","EQ","JITF INFRALOGISTICS LTD",0.01,1,"","",0,2,"INE863T01013",990,402,990,3.15,"","","",0,0,0,950.1,859.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JITFINFRA"
"19692","ONDOO","SM","ON DOOR CONCEPTS LTD",0.01,1,"","",0,10,"INE00ER01015",0,0,544.9,165.85,"","","",0,0,0,524.85,474.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ONDOOR"
"1970","LAKVIL","EQ","LAKSHMI VILAS BANK LTD",0.01,1,"","",0,10,"INE694C01018",25.4,6.95,194.9,5.1,"","","",0,0,0,8,7.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAKSHVILAS"
"19705","SBIN1D","EQ","SBI NIFTY 1D RATE ETF",0.01,1,"","",0,1000,"INF200KA13Z8",1000.01,995,1000.01,995,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LIQUIDSBI"
"1971","URJRE1","BE","URJA GLOBAL LTD RIGHTS ENTITLE",0.01,1,"","",0,1,"INE550C20012",9.95,3.85,9.95,3.85,"","","",0,0,0,6.85,2.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","URJA-RE"
"19731","GUJPPL","EQ","GUJARAT PIPAVAV PORT LIMITED",0.01,1,"","",0,10,"INE517F01014",243.34,115.55,261.9,41,"","","",0,0,0,278.25,185.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GPPL"
"19752","SHAFMC","SM","SHANTHALA FMCG PRODUCTS LTD",0.01,1,"","",0,10,"INE0Q9Q01017",0,0,145,58,"","","",0,0,0,76.05,50.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SHANTHALA"
"19756","INHN48","N5","INDIABULLS HOU.FIN.9.25",0.01,1,"","",0,1000,"INE148I07PA7",0,0,980,940,"","","",0,0,0,1160.41,773.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","925IHFL25"
"19758","INHN52","N6","9.9% INDIABULLS HOU. SEPT 26",0.01,1,"","",0,1000,"INE148I07PX9",0,0,0,0,"","","",0,0,0,1200,800,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","940IHFL26"
